idiom_word_count,literal_word_count,idiom_phrase,literal_phrase,figurative_meaning,literal_meaning
3,3,kick the bucket,kick the ball,to die,hit the sphere with your foot
3,3,read the room,read the book,understand a situation,parse the pages
3,3,break the ice,break the glass,start a conversation,shatter the window
3,3,spill the beans,spill the water,reveal a secret,pour out the liquid
3,3,bite the bullet,bite the apple,face something difficult,chew the fruit
3,3,hit the hay,hit the ball,go to sleep,strike the sphere
3,3,cut the mustard,cut the paper,meet expectations,slice the document
3,3,jump the shark,jump the fence,decline in quality,leap over the barrier
3,3,rock the boat,rock the chair,cause trouble,shake the seat
3,3,face the music,face the mirror,accept consequences,confront the reflection
3,3,toe the line,toe the water,follow rules,test the depth
3,3,miss the boat,miss the train,lose an opportunity,fail to catch the ride
3,3,pass the buck,pass the book,shift responsibility,hand over the novel
3,3,break a leg,break a stick,good luck,snap the twig
3,3,hit the road,hit the drum,leave,strike the instrument
3,3,get the sack,get the bag,be fired from a job,receive the container
3,3,fit the bill,fit the shirt,be suitable,wear the garment
3,3,clear the air,clear the table,resolve tension,wipe the surface
3,3,ring a bell,ring the alarm,sound familiar,sound the siren
3,3,push the envelope,push the button,exceed the limits,press the switch
3,3,pop the question,pop the balloon,propose marriage,burst the inflatable
3,3,lose your touch,lose your phone,lose a skill,misplace the device
3,3,call the shots,call the dogs,be in charge,summon the canines
3,3,drop the ball,drop the pen,make a mistake,release the writing tool
3,3,under the weather,under the umbrella,feeling ill,beneath the rain shield
3,3,the last straw,the first straw,the final tolerable act,the initial reed
3,3,play devil's advocate,play a role,argue an opposing view,act a part
3,3,pull someone's leg,pull someone's hair,joke or tease someone,tug on the tresses
3,3,spill the tea,spill the soup,share gossip,pour out the broth
3,3,hit the books,hit the pillow,study,strike the cushion
3,3,break the bank,break the jar,be too expensive,shatter the container
3,3,on thin ice,on wet grass,in a risky position,standing on damp turf
3,3,hit the sack,hit the drum,go to sleep,strike the instrument
3,3,break the news,break the paper,share bad news,tear the sheet
3,3,blow off steam,blow off dust,release frustration,blow away the particles
3,3,hold your horses,hold your hat,wait,grip the cap
3,3,hit the ceiling,hit the roof,become very angry,strike the top
3,3,in hot water,in cold water,in trouble,in chilly water
3,3,raise the bar,raise the gate,set higher standards,lift the barrier
3,3,break the silence,break the branch,start talking,snap the limb
3,3,hit the spot,hit the target,satisfy perfectly,strike the target
3,3,steal the show,steal the bike,get all the attention,take the bicycle
3,3,on the fence,on the bench,undecided,sitting on the bench
3,3,spill your guts,spill your juice,reveal everything,pour out the drink
3,3,hold your tongue,hold your spoon,stay silent,grip the utensil
3,3,jump the gun,jump the hurdle,start too early,leap over the barrier
3,3,cut the cord,cut the rope,end a dependence,slice the rope
3,4,walk on eggshells,walk on the floor,act very carefully,walk across the floor
3,3,on cloud nine,on cloud three,very happy,on the third cloud
3,3,beyond the pale,beyond the fence,unacceptable,past the fence
3,3,a hot potato,a hot stove,controversial issue,heated appliance
3,3,bed of roses,bed of flowers,easy situation,floral resting place
3,3,bite the dust,bite the bread,die,chew baked loaf
3,3,blow your mind,blow your nose,astonish you,expel mucus
3,3,break the mold,break the plate,be original,shatter ceramic dish
3,3,bury the hatchet,bury the box,make peace,cover a container with soil
3,3,call your bluff,call your number,challenge deception,dial the digits
3,3,chew the fat,chew the meat,chat casually,masticate cooked flesh
3,3,cook the books,cook the pasta,falsify accounts,prepare the noodles
3,3,cool your jets,cool your soup,calm down,lower broth temperature
3,3,cross the line,cross the street,behave unacceptably,walk across the road
3,3,cut a rug,cut a cloth,dance,slice fabric
3,3,dodge a bullet,dodge a ball,avoid danger,evade the projectile
3,3,draw the line,draw a circle,set a boundary,sketch a round shape
3,3,eat your words,eat your lunch,retract a statement,consume your meal
3,3,find your feet,find your shoes,become confident,locate your footwear
3,3,get a grip,get a cup,control yourself,obtain a vessel
3,3,get cold feet,get cold hands,lose courage,have chilly fingers
3,3,get your goat,get your coat,irritate you,retrieve a jacket
3,3,grasp the nettle,grasp the handle,confront difficulty,hold the lever
3,3,hang your head,hang your coat,feel ashamed,suspend your garment
3,3,have a blast,have a sandwich,enjoy greatly,possess a meal
3,3,keep your cool,keep your receipt,stay calm,retain the document
3,3,kick the habit,kick the door,stop an addiction,strike an entrance panel
3,3,learn the ropes,learn the alphabet,become familiar,study the letters
3,3,lift a finger,lift a box,make an effort,raise the container
3,3,lose your cool,lose your keys,become angry,misplace metal openers
3,3,make a killing,make a painting,profit greatly,create artwork
3,3,make a scene,make a cake,cause a disturbance,bake a dessert
3,3,my two cents,my two coins,personal opinion,a pair of tokens belonging to me
3,3,off the hook,off the shelf,free from obligation,removed from storage
3,3,on the ball,on the chair,alert and competent,atop furniture
3,3,open the floodgates,open the door,allow many things,unseal an entrance
3,3,pass the baton,pass the salt,transfer responsibility,hand over seasoning
3,3,pass the torch,pass the cup,transfer responsibility,hand over a vessel
3,3,pay the piper,pay the cashier,face consequences,give money to clerk
3,3,piece of cake,piece of bread,easy task,portion of baked loaf
3,3,play with fire,play with toys,take risks,use objects for amusement
3,3,pull some strings,pull some ropes,use influence,tug cords
3,3,pull your weight,pull your cart,do your share,drag a wagon
3,3,push your luck,push your cart,take excessive risks,shove a wagon
3,3,raise some eyebrows,raise your hand,cause surprise,lift an arm
3,3,ride the wave,ride the horse,benefit from a trend,travel mounted on an animal
3,3,roll the dice,roll the ball,take a chance,move the sphere
3,3,run the show,run the race,be in control,compete in contest
3,3,save your skin,save your money,avoid harm,preserve your funds
3,3,shoot the breeze,shoot the target,chat casually,fire at a mark
3,3,smell a rat,smell a flower,suspect deception,sniff a blossom
3,3,spin your wheels,spin your chair,waste effort,rotate a seat
3,3,take the cake,take the plate,be most remarkable,grab a dish
3,3,take the plunge,take the train,commit to action,board rail transport
3,3,tighten your belt,tighten your shoes,reduce spending,fasten your footwear
3,3,tip the scales,tip the glass,decide the outcome,tilt a vessel
3,3,turn the corner,turn the handle,begin improving,rotate the lever
3,3,turn the tables,turn the page,reverse the situation,flip a sheet
3,3,under your thumb,under your desk,under your control,beneath a worktable
3,3,wear the pants,wear the coat,be in charge,put on a garment
4,4,throw in the towel,throw in the laundry,give up,wash the clothes
4,5,add insult to injury,add salt to a wound,worsen a bad situation,pour sodium chloride on an abrasion
5,4,barking up the wrong tree,barking at the mailman,pursuing the wrong course of action,yelling at the postal worker
4,4,beat around the bush,beat on the drum,avoid the main point,strike the percussion instrument
4,3,burn the midnight oil,burn the firewood,work late into the night,incinerate the kindling
4,5,go down in flames,go down in an elevator,fail spectacularly,descend in a lift
6,6,hit the nail on the head,hit the hammer on the thumb,describe something exactly,strike the tool on the digit
4,4,jump on the bandwagon,jump on the trampoline,join a popular trend,leap on the bouncy surface
6,6,kill two birds with one stone,kill two flies with one swatter,achieve two things at once,eliminate two insects with one tool
7,7,let the cat out of the bag,let the dog out of the house,reveal a secret,release the canine from the dwelling
4,4,paint the town red,paint the wall red,celebrate wildly,color the surface crimson
4,4,see eye to eye,see face to face,agree completely,view visage to visage
4,4,sit on the fence,sit on the chair,be undecided,rest on the seat
6,6,take with a grain of salt,take with a pinch of sugar,not take something too seriously,consume with a bit of sweetener
4,4,turn a blind eye,turn a deaf ear,ignore something intentionally,refuse to listen
4,4,a piece of cake,a slice of cake,very easy,a portion of dessert
6,6,cost an arm and a leg,cost a wheel and a tire,be very expensive,be priced in parts
5,5,once in a blue moon,once in a new month,very rarely,one time in a month
2,3,burn bridges,burn the rope,ruin a relationship,set the cord on fire
4,4,go the extra mile,go the short mile,make a special effort,walk the brief distance
2,3,cut corners,cut the fabric,do something cheaply,slice the cloth
7,4,bite off more than you can chew,bite off a sandwich,take on too much,take a large bite
6,6,the ball is in your court,the ball is on the lawn,it is your decision,the ball rests on the grass
5,4,back to the drawing board,back to the studio,start over,return to the room
4,4,keep an eye on,keep a hand on,watch carefully,rest a hand on
4,4,take a rain check,take a bus ticket,postpone,accept the fare stub
4,4,up in the air,up in the tree,uncertain,up among branches
5,5,the tip of the iceberg,the tip of the pencil,a small visible part,the point of the pencil
5,6,throw someone under the bus,throw a pillow under the bed,betray someone,toss a cushion under the frame
4,4,on the same page,on the same sheet,in agreement,on the same paper
4,4,cut to the chase,cut to the scene,get to the point,switch to the shot
5,5,the elephant in the room,the elephant in the zoo,an obvious issue,the large animal in the enclosure
4,4,let sleeping dogs lie,let sleeping cats lie,avoid reopening issues,leave the cats asleep
2,3,kill time,kill the weeds,pass the time,remove the plants
5,6,throw caution to the wind,throw a jacket to the wind,act recklessly,toss a coat into the air
4,4,feel under the weather,feel under the table,feel sick,feel beneath the table
4,4,keep your chin up,keep your hat on,stay positive,keep the hat in place
5,4,pull out all the stops,pull out the drawers,use every effort,remove the drawers
5,5,make a long story short,make a long rope short,summarize,shorten the rope
4,4,go down the drain,go down the stairs,be wasted,descend the steps
6,6,burn the candle at both ends,burn the candle at one end,overwork,light the wick on one side
4,4,hit the ground running,hit the ground falling,start quickly,land while falling
6,6,take the bull by the horns,take the goat by the horns,deal directly with a problem,grasp the animal by the horns
4,4,the whole nine yards,the whole nine blocks,everything,all nine blocks
4,3,close but no cigar,close the box,almost successful,shut the container
4,4,drive a hard bargain,drive a blue car,negotiate firmly,operate a blue vehicle
4,4,throw in the towel,throw in the basket,give up,toss into the basket
4,4,get your act together,get your bag together,become organized,collect your bag
7,4,let the chips fall where they may,let the coins fall,accept the outcome,allow the coins to drop
6,6,throw a wrench in the works,throw a wrench in the box,disrupt a plan,toss a tool into the box
