first,last,group
Michael,Jackson,non_compositional
Michael,Jordan,non_compositional
James,Brown,non_compositional
Chris,Evans,non_compositional
Will,Smith,non_compositional
Tom,Jones,non_compositional
George,Michael,non_compositional
John,Wayne,non_compositional
Bruce,Lee,non_compositional
Bruce,Willis,non_compositional
Bill,Murray,non_compositional
Jennifer,Lawrence,non_compositional
Emma,Stone,non_compositional
Morgan,Freeman,non_compositional
Harrison,Ford,non_compositional
Ryan,Reynolds,non_compositional
Jack,Black,non_compositional
Hugh,Grant,non_compositional
Kevin,Hart,non_compositional
Chris,Martin,non_compositional
John,Williams,non_compositional
Robin,Williams,non_compositional
Andy,Murray,non_compositional
Peter,Jackson,non_compositional
Sam,Smith,non_compositional
Kate,Moss,non_compositional
Meg,Ryan,non_compositional
James,Cameron,non_compositional
Oliver,Stone,non_compositional
Barry,White,non_compositional
Julia,Roberts,non_compositional
Bradley,Cooper,non_compositional
Albert,Einstein,compositional
Ada,Lovelace,compositional
Isaac,Newton,compositional
Marie,Curie,compositional
Zinedine,Zidane,compositional
Noam,Chomsky,compositional
Nelson,Mandela,compositional
Napoleon,Bonaparte,compositional
Galileo,Galilei,compositional
Nikola,Tesla,compositional
Sigmund,Freud,compositional
Friedrich,Nietzsche,compositional
Ludwig,Wittgenstein,compositional
Wolfgang,Mozart,compositional
Fyodor,Dostoevsky,compositional
Leo,Tolstoy,compositional
Franz,Kafka,compositional
Marcel,Proust,compositional
René,Descartes,compositional
Immanuel,Kant,compositional
Gottfried,Leibniz,compositional
Sören,Kierkegaard,compositional
Elon,Musk,compositional
LeBron,James,compositional
Serena,Williams,compositional
Beyoncé,Knowles,compositional
Oprah,Winfrey,compositional
Kanye,West,compositional
Taylor,Swift,compositional
Mark,Zuckerberg,compositional
Jeff,Bezos,compositional
Roger,Federer,compositional
Laura,Whitfield,unfamiliar
Mark,Denison,unfamiliar
Sarah,Bellingham,unfamiliar
Thomas,Underwood,unfamiliar
Anna,Forsythe,unfamiliar
Robert,Stanton,unfamiliar
Emily,Carrington,unfamiliar
Kevin,Blackwood,unfamiliar
Susan,Holloway,unfamiliar
Karen,Sedgewick,unfamiliar
Brian,Pennington,unfamiliar
Carol,Whitmore,unfamiliar
Gary,Elsworth,unfamiliar
Linda,Ashworth,unfamiliar
Rachel,Bexley,unfamiliar
Martin,Ellsworth,unfamiliar
Julia,Cartwright,unfamiliar
Helen,Norcross,unfamiliar
Edward,Langford,unfamiliar
Simon,Ainsley,unfamiliar
Claire,Wetherby,unfamiliar
Rebecca,Hensley,unfamiliar
Daniel,Kershaw,unfamiliar
Olivia,Marston,unfamiliar
Teresa,Norwood,unfamiliar
Andrew,Pemberley,unfamiliar
Catherine,Ellison,unfamiliar
Fiona,Blackwell,unfamiliar
Jonathan,Fairford,unfamiliar
Amanda,Westbrook,unfamiliar
Philip,Carstairs,unfamiliar
Sylvia,Cranford,unfamiliar
